Customer Name,Employee Name,Route Name,State,Visit Day,acedns
LSEDR00046,ASL1018,DELHI,,,Y
BPRDR00001,,AMRITSAR,,,Y
BPRDR00001,ASL1018,AMRITSAR,,,Y
BPRDR00001,ASLS077,AMRITSAR,,,Y
BPRDR00001,ASL1028,AMRITSAR,,,Y
BPRDR00002,,MALANPUR,,,Y
BPRDR00002,ASL1018,MALANPUR,,,Y
BPRDR00002,ASLS077,MALANPUR,,,Y
BPRDR00002,ASL1028,MALANPUR,,,Y
BPRDR00003,,NOIDA,,,Y
BPRDR00003,ASL1018,NOIDA,,,Y
BPRDR00003,ASLS077,NOIDA,,,Y
BPRDR00003,ASL1028,NOIDA,,,Y
BPRDR00004,,HAPUR,,,Y
BPRDR00004,ASL1018,HAPUR,,,Y
BPRDR00004,ASLS077,HAPUR,,,Y
BPRDR00004,ASL1028,HAPUR,,,Y
BPRDR00008,,KHANNA,,,Y
BPRDR00008,ASL1018,KHANNA,,,Y
BPRDR00008,ASLS077,KHANNA,,,Y
BPRDR00008,ASL1028,KHANNA,,,Y
BPRDR00009,,Bulandshahr,,,Y
BPRDR00009,ASL1018,Bulandshahr,,,Y
BPRDR00009,ASLS077,Bulandshahr,,,Y
BPRDR00009,ASL1028,Bulandshahr,,,Y
BPRDR00010,,JAIPUR,,,Y
BPRDR00010,ASL1018,JAIPUR,,,Y
BPRDR00010,ASLS077,JAIPUR,,,Y
BPRDR00010,ASL1028,JAIPUR,,,Y
BPRDR00011,,Bulandshahr,,,Y
BPRDR00011,ASLM001,Bulandshahr,,,Y
INACTIV002,,GURGAON,,,N
INACTIV002,ASL1028,GURGAON,,,N
INACTIV019,,DELHI,,,N
INACTIV019,ASL1028,DELHI,,,N
INACTIV020,,ALWAR,,,N
INACTIV020,ASL1028,ALWAR,,,N
INACTIV021,,Bhiwadi,,,N
INACTIV021,ASL1028,Bhiwadi,,,N
INACTIV024,,DHOLPUR,,,N
INACTIV024,ASL1028,DHOLPUR,,,N
INACTIV029,,DELHI,,,N
INACTIV029,ASL1028,DELHI,,,N
INACTIV030,,DELHI,,,N
INACTIV030,ASL1028,DELHI,,,N
INACTIV034,,DELHI,,,N
INACTIV034,ASL1028,DELHI,,,N
INACTIV036,,RUDRAPUR,,,N
INACTIV036,ASL1028,RUDRAPUR,,,N
INACTIV037,,CHANDAUSI,,,N
INACTIV037,ASL1028,CHANDAUSI,,,N
INACTIV038,,ROORKEE,,,N
INACTIV038,ASL1028,ROORKEE,,,N
INACTIV044,,HISSAR,,,N
